游戏名称,评分,类别,语言,热度,最后更新时间,游戏版本,资费,开发商,支持系统,评论数,喜欢数
王国保卫战(含数据包),7.8 ,策略塔防,英文,51℃,2015-10-12,2.6.5,完全免费,Ironhide Game,4.0以上,1857,1109
扩散性百万亚瑟王日本版,5.0 ,角色扮演,日文,51℃,2015-07-01,3.2.2,完全免费,SQEX,2.2以上,1111,218
小王子复国战(含数据包),7.8 ,策略塔防,中文,51℃,2013-07-12,1.6.1,完全免费,flaregames,2.2以上,1814,1208
使命召唤:突击队汉化修改版(含数据包),8.2 ,射击游戏,"英文, 中文",51℃,2014-06-27,1.0.30.40254,完全免费,"Activision Publishing, Inc.",4.0以上,20062,7728
异形2(含数据包),8.7 ,策略塔防,英文,51℃,2014-06-26,1.2,完全免费,11 bit studios,2.2以上,5507,2778
死亡飞车,5.1 ,竞速游戏,英文,51℃,2013-12-19,1.7,完全免费,Evil Indie Games,2.0.1以上,726,13
血饮狂刀,,动作游戏,英文,51℃,2013-05-19,1.0.6,完全免费,Gamelion Studios,2.0以上,1021,85
小怪兽求包养2,7.5 ,益智休闲,英文,51℃,2013-05-17,1.0.8,完全免费,Bit Ate Bit,2.1以上,744,256
弹壳:地狱佳丽(含数据包),5.1 ,飞行游戏,英文,51℃,2012-12-10,2.0.0,完全免费,Glu,2.1以上,2012,999
地牢猎人汉化版(含数据包),5.4 ,角色扮演,中文,51℃,2011-12-01,3.1.1,完全免费,Gameloft,2.0以上,1624,338
愤怒的小鸟卡丁车(含数据包),8.3 ,竞速游戏,中文,50℃,2016-09-29,2.3.6,完全免费,Rovio,2.3.3以上,7259,1018
僵尸山羊(含数据包),7.0 ,角色扮演,中文,50℃,2016-09-27,1.3.5,完全免费,Coffee Stain Studios,4.0.3以上,3329,1920
饥饿鲨世界3D(含数据包),5.8 ,益智休闲,英文,50℃,2016-09-02,1.4.0,完全免费,Ubisoft育碧,4.2以上,2510,808
小小弓手,5.9 ,益智休闲,英文,50℃,2016-08-29,1.6.25.0,完全免费,1DER,4.3以上,225,749
内购大师,5.0 ,游戏工具,英文,50℃,2016-08-12,1.2.9,完全免费,,2.3以上,1747,1068
桥梁构造者完整版,6.3 ,益智休闲,中文,50℃,2016-06-23,5.1,完全免费,ClockStone STUDIO,4.0.3以上,1107,593
战地:红色警戒,5.1 ,策略塔防,中文,50℃,2016-04-17,4.7.52,完全免费,Empire Game Studio,2.3以上,1281,200
愤怒的小鸟星球大战2,8.7 ,益智休闲,英文,50℃,2016-01-26,1.9.1,完全免费,Rovio,4.1以上,4101,166
变脸僵尸,4.9 ,益智休闲,英文,50℃,2015-12-09,4.41,完全免费,"MotionPortrait, Inc",2.3以上,1071,97
